"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1404","Verify error message for blank username field","chromium","Mon Nov 04 14:21:03 WIB 2024","passed","Mon Nov 04 14:21:04 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","13046","@smoke - Verify Checkout Page","chromium","Mon Nov 04 14:19:38 WIB 2024","passed","Mon Nov 04 14:19:51 WIB 2024","Functionality Test - Checkout","checkout-test.spec.js","",""
"","983","Verify error message for blank password field","webkit","Mon Nov 04 14:50:56 WIB 2024","failed","Mon Nov 04 14:50:57 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","6852","Can not access inventory page without login","webkit","Mon Nov 04 14:50:43 WIB 2024","passed","Mon Nov 04 14:50:50 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1838","Verify Login Page","chromium","Mon Nov 04 14:20:56 WIB 2024","passed","Mon Nov 04 14:20:58 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1549","Can not access checkout-complete page without login","webkit","Mon Nov 04 14:50:54 WIB 2024","passed","Mon Nov 04 14:50:56 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","3227","Verify error message for incorrect password","firefox","Mon Nov 04 14:23:39 WIB 2024","passed","Mon Nov 04 14:23:42 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","1368","Verify error message for checkout-info page without login","Mobile Safari","Mon Nov 04 14:30:16 WIB 2024","passed","Mon Nov 04 14:30:17 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","12007","@smoke - Verify removing product from cart","chromium","Mon Nov 04 14:19:38 WIB 2024","passed","Mon Nov 04 14:19:50 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","12266","Verify Cart Page","chromium","Mon Nov 04 14:19:38 WIB 2024","passed","Mon Nov 04 14:19:51 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","11481","Verify data product are accurate in checkout process","webkit","Mon Nov 04 14:50:39 WIB 2024","failed","Mon Nov 04 14:50:50 WIB 2024","Data Validation Test - Checkout","checkout-test.spec.js","",""
"","3627","@smoke - Verify adding product to cart and product information are accurate","Mobile Chrome","Mon Nov 04 14:26:10 WIB 2024","passed","Mon Nov 04 14:26:13 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","2457","Verify Inventory Page and Inventory Item Page","Mobile Safari","Mon Nov 04 14:30:20 WIB 2024","passed","Mon Nov 04 14:30:23 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","1342","Verify error message for cart page without login","webkit","Mon Nov 04 14:51:00 WIB 2024","failed","Mon Nov 04 14:51:02 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","2476","@smoke - Verify login process with valid credentials","firefox","Mon Nov 04 14:23:28 WIB 2024","passed","Mon Nov 04 14:23:30 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","61600","Can not access checkout-complete page without login","chromium","Mon Nov 04 14:20:53 WIB 2024","passed","Mon Nov 04 14:21:55 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2987","Verify error message for blank fields","Mobile Chrome","Mon Nov 04 14:26:17 WIB 2024","passed","Mon Nov 04 14:26:20 WIB 2024","Error Handling Test - Checkout","checkout-test.spec.js","",""
"","61806","Can not access inventory-item page without login","Mobile Chrome","Mon Nov 04 14:26:20 WIB 2024","passed","Mon Nov 04 14:27:22 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1616","Verify sort product function by names and prices","chromium","Mon Nov 04 14:21:19 WIB 2024","passed","Mon Nov 04 14:21:20 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","1986","@smoke - Verify login process with valid credentials","chromium","Mon Nov 04 14:20:58 WIB 2024","passed","Mon Nov 04 14:21:00 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","3753","Verify data product are accurate in checkout process","chromium","Mon Nov 04 14:19:51 WIB 2024","passed","Mon Nov 04 14:19:54 WIB 2024","Data Validation Test - Checkout","checkout-test.spec.js","",""
"","1573","Test Github Actions - hasilnya failed","webkit","Mon Nov 04 14:50:52 WIB 2024","passed","Mon Nov 04 14:50:53 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2127","Verify product information match across pages","Mobile Safari","Mon Nov 04 14:30:25 WIB 2024","passed","Mon Nov 04 14:30:27 WIB 2024","Data Validation Test - Product","product-test.spec.js","",""
"","1493","Verify error message for access inventory page without login","Mobile Chrome","Mon Nov 04 14:28:10 WIB 2024","passed","Mon Nov 04 14:28:11 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","5261","@smoke - Verify Checkout Page","firefox","Mon Nov 04 14:21:51 WIB 2024","passed","Mon Nov 04 14:21:57 WIB 2024","Functionality Test - Checkout","checkout-test.spec.js","",""
"","5819","Verify error message for blank fields","Mobile Safari","Mon Nov 04 14:28:36 WIB 2024","passed","Mon Nov 04 14:28:41 WIB 2024","Error Handling Test - Checkout","checkout-test.spec.js","",""
"","1964","Verify product information match across pages","chromium","Mon Nov 04 14:21:20 WIB 2024","passed","Mon Nov 04 14:21:22 WIB 2024","Data Validation Test - Product","product-test.spec.js","",""
"","1444","Verify error message for access inventory page without login","chromium","Mon Nov 04 14:21:10 WIB 2024","passed","Mon Nov 04 14:21:11 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","63646","Test Github Actions - hasilnya failed","firefox","Mon Nov 04 14:23:22 WIB 2024","passed","Mon Nov 04 14:24:26 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1522","Verify error message for checkout-complete inventory page without login","Mobile Safari","Mon Nov 04 14:30:19 WIB 2024","passed","Mon Nov 04 14:30:20 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","2762","@smoke - Verify logout process","chromium","Mon Nov 04 14:21:00 WIB 2024","passed","Mon Nov 04 14:21:03 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1059","Verify Inventory Page and Inventory Item Page","webkit","Mon Nov 04 14:51:08 WIB 2024","failed","Mon Nov 04 14:51:09 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","1469","Verify error message for access inventory-item page without login","chromium","Mon Nov 04 14:21:11 WIB 2024","passed","Mon Nov 04 14:21:13 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","62130","Can not access checkout-complete page without login","Mobile Chrome","Mon Nov 04 14:27:22 WIB 2024","passed","Mon Nov 04 14:28:24 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","972","Verify sort product function by names and prices","webkit","Mon Nov 04 14:51:09 WIB 2024","failed","Mon Nov 04 14:51:10 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
